"gamename",positive,negative,rating
"*NEW* EPIC SCUFFED BHOP SIMULATOR 2023 (POG CHAMP)",3995,322,0.8912
".EXE",7,2,0.6389
".fall",9,3,0.6345
".hack//G.U. Last Recode",1966,301,0.8314
".projekt",109,9,0.8232
".T.E.S.T: Expected Behaviour",64,17,0.7131
"//TODO: today",26,2,0.773
"::CallBack",3,0,0.6706
":THE LONGING:",3040,237,0.8903
"0 Day",1,1,0.5
"0°N 0°W",190,28,0.7982
"0Gravity",3,3,0.5
"0RBITALIS",205,81,0.6773
"1 For Yes, 0 For No",6,1,0.6662
"1 HIT KILL",1,0,0.5942
"1 Moment Of Time: Silentville",432,133,0.7253
"1 Screen Platformer",306,43,0.8122
"1 Screen Platformer: Prologue",54,7,0.774
"1, 2, 3... Bruegel!",16,8,0.6034
"1,000 Heads Among the Trees",54,55,0.4965
"1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby)",149,375,0.3171
"10 Miles To Safety",531,159,0.7319
"10 Minute Barbarian",16,5,0.6586
"10 Minute Tower",2,2,0.5
"10 Second Ninja",621,101,0.8105
"10 Second Ninja X",1688,376,0.7859
"10 Second Shuriken",1,0,0.5942
"10 seconds",5,0,0.7084
"10 Years After",13,100,0.2076
"100 Chests",3,5,0.4395
"100 Doors Game - Escape from School",236,74,0.7149
"100 hidden aliens",38,5,0.7609
"100 hidden birds",80,7,0.8105
"100 hidden cats",20,0,0.8
"100 hidden cupcakes",26,12,0.6231
"100 hidden eternals",52,4,0.8017
"100 hidden gnomes",16,17,0.4901
"100 hidden mice",42,6,0.7588
"100 hidden mushrooms",21,4,0.7125
"100 hidden snails",106,12,0.8038
"100 hidden snails 2",27,2,0.7762
"100 nya",23,2,0.7625
"100 RUB: Operation Global Denomination",27,3,0.7577
"100 Seconds",0,1,0.4058
"100 vacas",11,0,0.7634
"100 Years’ War",2,2,0.5
"100$",69,19,0.7105
"100$ Orange Juice",18484,1372,0.909
"1000 Amps",242,66,0.7349
"1000 days to escape",219,47,0.7632
"1000 Shards",2,1,0.5569
"1000 Stages",2,3,0.4583
"1000$$",18,6,0.6551
"1001 Hugs",40,14,0.6687
"1001 Jigsaw Castles And Palaces",6,0,0.7217
"1001 Jigsaw World Tour Africa",1,0,0.5942
"1001 Jigsaw World Tour: Europe",2,0,0.6408
"1001 Jigsaw. 6 Magic Elements",9,1,0.7057
"1001 Jigsaw. Earth Chronicles",8,1,0.6944
"1001 Jigsaw. Home Sweet Home",5,0,0.7084
"1001 Jigsaw. Ice Age",2,0,0.6408
"1001 Jigsaw. Legends of Mystery",8,0,0.7419
"1001 JIGSAW. MYTHS OF ANCIENT GREECE",4,0,0.692
"1001 Jigsaw. World Tour: Australian Puzzles",3,2,0.5417
