"month","year",peak,gain,gain_perc,peak_daily_min,peak_daily_avg,peak_ingame
"March","2021",26850811,449368,0.017,24912223,25653203,7389210
"February","2021",26401443,975627,0.038,24415244,25383744,7444976
"January","2021",25425816,621668,0.025,23636256,24674583,7413419
"December","2020",24804148,869647,0.036,22994024,23958746,7170724
"November","2020",23934501,739982,0.032,21534695,22544117,6738766
"October","2020",23194519,1220680,0.056,21000223,21865213,6244411
"September","2020",21973839,1099935,0.053,20294409,21009211,6086375
"August","2020",20873904,27617,0.001,18994373,19924340,5912438
"July","2020",20846287,-788474,-0.036,18938054,19833389,6124183
"June","2020",21634761,-1880626,-0.08,20064649,20588923,6098710
"May","2020",23515387,-1020536,-0.042,21414286,22287737,6862591
"April","2020",24535923,900722,0.038,23154456,23592347,8171592
"March","2020",23635201,4527398,0.237,16106355,19827017,7248887
"February","2020",19107803,772895,0.042,15846983,17046966,6079346
"January","2020",18334908,734166,0.042,14811064,16265412,5742563
"December","2019",17600742,626348,0.037,14157477,15805190,5666621
"November","2019",16974394,145548,0.009,13470414,14801253,5252907
"October","2019",16828846,284920,0.017,13823282,14805565,5065579
"September","2019",16543926,552660,0.035,13777036,14797209,4856290
"August","2019",15991266,-540228,-0.033,14304685,14924747,4923539
"July","2019",16531494,38773,0.002,14326050,15118307,5241697
"June","2019",16492721,-485843,-0.029,14464902,15332248,5115578
"May","2019",16978564,-147106,-0.009,14245647,15338828,5185843
"April","2019",17125670,-157426,-0.009,14385939,15329432,5266796
"March","2019",17283096,-332077,-0.019,14173812,15353190,5427382
"February","2019",17615173,82725,0.005,14184269,15407436,5339890
"January","2019",17532448,565709,0.033,14325593,15733693,5555946
"December","2018",16966739,359247,0.022,13782278,15455810,5349596
"November","2018",16607492,302628,0.019,13181742,14523037,4946036
"October","2018",16304864,-497907,-0.03,13419538,14544460,4971809
"September","2018",16802771,770744,0.048,13693904,14803638,5273072
"August","2018",16032027,-326290,-0.02,13821118,14591476,5052835
"July","2018",16358317,-868920,-0.05,14071190,14878393,5134961
"June","2018",17227237,461865,0.028,14554249,15509585,5627170
"May","2018",16765372,-435179,-0.025,14293392,15291915,5582922
"April","2018",17200551,-1320696,-0.071,14624869,15802067,5929288
"March","2018",18521247,159064,0.009,15060485,16452613,6760211
"February","2018",18362183,-175307,-0.009,13230360,16134370,6777433
"January","2018",18537490,546481,0.03,15628891,16850251,7188164
"December","2017",17991009,307205,0.017,14417251,16246414,7028602
"November","2017",17683804,964651,0.058,13762149,15217727,6882012
"October","2017",16719153,1113474,0.071,13806952,14891597,0
"September","2017",15605679,1375410,0.097,12645932,13795174,0
"August","2017",14230269,156637,0.011,12250880,12970998,0
"July","2017",14073632,62963,0.004,12094534,12817764,0
"June","2017",14010669,494141,0.037,12022478,12822262,0
"May","2017",13516528,-192177,-0.014,11700990,12416279,0
"April","2017",13708705,6640,0,11593180,12424615,0
"March","2017",13702065,-361634,-0.026,11331449,12251143,0
"February","2017",14063699,-306343,-0.021,11954085,12695770,0
"January","2017",14370042,680400,0.05,12137281,13024870,0
"December","2016",13689642,24256,0.002,11459392,12535796,0
"November","2016",13665386,584793,0.045,10996918,12137569,0
"October","2016",13080593,522415,0.042,10916103,11684003,0
"September","2016",12558178,602874,0.05,10266437,11271203,0
"August","2016",11955304,-328552,-0.027,10380541,10959826,0
"July","2016",12283856,-58375,-0.005,10564712,11173017,0
"June","2016",12342231,-48486,-0.004,10773140,11415349,0
"May","2016",12390717,-534735,-0.041,10457637,11260826,0
"April","2016",12925452,121560,0.009,10860421,11569876,0
"March","2016",12803892,-53608,-0.004,10336785,11353008,0
"February","2016",12857500,341334,0.027,10552091,11464652,0
"January","2016",12516166,880105,0.076,10526738,11425999,0
